Id,Name,Email,Age,City,Project,Manager
101,sonia,sonia@gmail.com,25,LA,EMS,Abhishek
102,deep,deep@gmail.com,21,NY,PMS,Abhijeet
103,Abhijeet,Abhijeet@gmail.com,30,NY,Quip,Rina
104,Abhishek,Abhishek@gmail.com,34,NJ,Automation,Rina
106,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
107,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
108,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
109,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
120,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
121,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
122,hello,sonia.chauhan@apisero.com,45,Najibabd,sda,Rina
